"time","ee_target-X_POS","ee_target-Y_POS","ee_target-Z_POS","ee_target-X_ROT","ee_target-Y_ROT","ee_target-Z_ROT","ee_target-W_ROT"
0,0.542593776777822,0.67916665528394,0.166280071798473,0.885084025403358,-0.191839128283175,-0.110352486464661,-0.409446389123663
0.1,0.544194883828238,0.667216117278458,0.166610908083526,0.888241459297871,-0.190833673806376,-0.106200707945739,-0.404142337002415
0.2,0.545422818341521,0.657740859117582,0.166880874514472,0.890754419768252,-0.19006357170616,-0.102867973192363,-0.399813184456087
0.3,0.546603938233891,0.648341006442153,0.167155527859137,0.89325447096319,-0.189324152608943,-0.099524531305483,-0.395408248537637
0.4,0.547738477087722,0.639016279397907,0.167434847912417,0.895740693962039,-0.188614782334598,-0.096168357106239,-0.390928024266313
0.5,0.549091501917717,0.627465589670971,0.167790529756796,0.898826554651186,-0.187771792669731,-0.091956518186903,-0.385222763209049
0.6,0.550122087470398,0.618308872079737,0.168080276029552,0.901276332762472,-0.187132109081443,-0.088572298785579,-0.380575214170339
0.7,0.551106851127263,0.609226370593332,0.168374623344337,0.903707930127274,-0.186523338424694,-0.085174273001247,-0.375854179791437
0.8,0.552273724505501,0.597977183792261,0.16874899692196,0.906719920164922,-0.185805898953703,-0.08090637604236,-0.369850392193676
0.9,0.553156242932338,0.589060645324571,0.169053622706402,0.90910594675305,-0.185266783707219,-0.077475030616652,-0.364966047823592
1,0.554196048842278,0.578018026820514,0.169440780440886,0.912056912175846,-0.18463642379973,-0.073163607444226,-0.358759900914881
1.1,0.554977504549865,0.569266034609331,0.169755582406648,0.914390854544115,-0.184166929824328,-0.069695991235616,-0.353715105545197
1.2,0.555891721129979,0.558428213449531,0.170155396437572,0.917272614491917,-0.183623477062015,-0.065337488155634,-0.347310210066349
1.3,0.556736804561997,0.547703403365594,0.170562186495967,0.920112365941553,-0.183128138991854,-0.060951396164667,-0.340796487740698
1.4,0.557363402017852,0.539204555964347,0.170892614763264,0.922352203025904,-0.182766397002126,-0.057422010543158,-0.335507928975315
1.5,0.558085195446556,0.528681788409264,0.171311862224112,0.925109889457017,-0.182357205422405,-0.052983868403074,-0.32880123440827
1.6,0.558739133130782,0.518270501477045,0.171737975215772,0.927818385639801,-0.181995547253201,-0.048515571189674,-0.321988980247618
1.7,0.559325671286109,0.507970148577332,0.172170914275151,0.930475112009318,-0.181681141372746,-0.044016299646461,-0.315072363380503
1.8,0.559746680726431,0.499809371452245,0.172522153772213,0.932561481672574,-0.181463425806006,-0.04039406385262,-0.309464743712222
1.9,0.560213049392994,0.489707322403341,0.172967280306491,0.935118504346705,-0.181233248466389,-0.035837142073521,-0.30236334388729
2,0.560613295934275,0.479714676933943,0.173419122411829,0.937616507920414,-0.181049343311908,-0.031247233794947,-0.295161023412
2.1,0.560947876565851,0.469830888453691,0.173877640625133,0.940052897804664,-0.180911294630689,-0.026623723233976,-0.287859045654749
2.2,0.561263336674466,0.45811326390384,0.17443661937958,0.942891581286516,-0.180805532854335,-0.021030370180634,-0.278966931298924
2.3,0.561455058183525,0.448467036801655,0.174909686120325,0.945183286070884,-0.180766744471204,-0.016331040009845,-0.271450247665619
2.4,0.561582573672729,0.438927917599473,0.17538930268714,0.947405075668405,-0.180772266168876,-0.011596511014739,-0.263838077832216
2.5,0.561646339357654,0.429495359706937,0.175875429616932,0.949554361220761,-0.180821550800007,-0.006826403220955,-0.256131767010612
2.6,0.56163935078945,0.418316181565404,0.176467320047779,0.952034160876717,-0.180937646618679,-0.00105485992701,-0.246761852461829
2.7,0.561564472783796,0.409116134556032,0.176967630866036,0.954014851396829,-0.181081143542818,0.003794574566796,-0.23885326870564
2.8,0.561392436636936,0.398214382175896,0.177576427362219,0.956284867516344,-0.181308489290318,0.009661964774689,-0.229244695265132
